lagoslakeid,lake_nhdid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
114311,135271231,NA,0.862,0.862,0,1,1,1,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15457230
65779,135271146,0.154,10.821,0.154,1,1,1,2,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15457198
113296,132875979,4.605,NA,4.605,11,0,4,5,135,24,26.357,32.216,0,32349,1,4.563,33347,3,N,N,6,15448004
101987,132434553,0.783,5.707,0.783,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466145
31436,132434419,NA,20.985,9.324,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466133
111370,129691068,NA,0.227,0.227,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9523661
101992,132876501,NA,47.101,3.69,0,1,0,1,135,24,26.357,32.216,30.087,32350,2,NA,NA,0,N,N,6,15448292
37671,132434439,0.097,0.261,0.097,1,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466143
44054,132876323,NA,0.125,0.125,0,1,0,1,135,24,26.357,32.216,NA,NA,0,NA,NA,0,N,N,6,15448176
83467,92083255,NA,0.11,0.11,0,1,1,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,10311294
112350,92081791,NA,40.301,11.127,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,9527525
129653,92083269,0.439,23.411,0.439,1,1,1,2,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,10311460
27264,92083299,NA,29.356,13.12,0,1,0,1,53,338,58.776,404.059,NA,NA,0,NA,NA,0,N,N,170,10311576
6425,131845875,NA,NA,8.191,0,0,1,1,29,736,162.652,51.934,0,32891,14,0,32891,1,N,N,126,15512140
6432,131843001,1,0.115,0.115,2,1,5,10,29,736,162.652,51.934,0,32418,1,2.501,90006,1,N,N,126,15511864
75026,133098825,0.073,3.967,0.073,23,1,4,5,29,736,162.652,51.934,0,32378,1,NA,NA,0,N,N,126,15489330
77121,132435146,NA,1.702,1.702,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15466147
23075,135271203,2.017,17.853,2.017,1,1,1,2,207,83,95.804,29.386,NA,NA,0,NA,NA,0,N,N,8,15457234
10523,133098967,NA,0.413,0.413,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490846
65791,133098787,NA,NA,4.914,0,0,1,1,29,736,162.652,51.934,40.144,33354,9,NA,NA,0,N,N,126,15490788
18753,133099339,2.141,0.062,0.062,2,1,2,3,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,166766881
40873,167248189,3.882,NA,1.741,1,0,2,2,29,736,162.652,51.934,43.945,33354,9,NA,NA,0,N,N,126,15490808
46100,133098746,NA,NA,10.048,0,0,0,1,29,736,162.652,51.934,52.346,33354,9,NA,NA,0,N,N,126,15490786
133878,131843004,0.378,3.375,0.378,2,1,2,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15511902
15610,133099388,NA,8.227,8.227,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15494514
120636,131845583,NA,5.39,4.058,0,1,1,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512138
44050,131844730,NA,NA,6.421,0,0,0,1,29,736,162.652,51.934,88.983,32893,12,NA,NA,0,N,N,126,15512034
112332,131842030,0.452,0.28,0.28,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15511838
29279,133098898,0.147,0.618,0.147,1,1,1,2,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490882
118533,133098533,2.272,12.087,2.272,9,1,5,8,29,736,162.652,51.934,0,32386,1,2.272,32883,3,Y,N,126,15490700
36587,133099430,1.974,NA,1.974,3,0,2,2,29,736,162.652,51.934,58.768,32387,10,NA,NA,0,N,N,126,22738505
26236,133099274,NA,0.116,0.116,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15494476
55396,131844902,NA,1.056,1.056,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15512070
54445,133099203,3.173,2.688,2.688,1,1,2,3,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15491002
11555,133099079,NA,16.373,5.126,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15490946
81340,132858997,NA,61.319,19.856,0,1,0,1,29,736,162.652,51.934,39.332,32371,3,NA,NA,0,N,N,126,15477647
112329,132858950,NA,65.141,12.888,0,1,0,1,29,736,162.652,51.934,43.154,32371,3,NA,NA,0,N,N,126,15476395
46095,131841634,0.471,1.296,0.471,4,1,2,4,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509538
45055,132859638,NA,0.302,0.302,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15476501
80312,131844003,NA,17.011,8.839,0,1,0,1,29,736,162.652,51.934,NA,NA,0,NA,NA,0,N,N,126,15509746
