lake_nhdid,area,perimeter,bbox_lw_rat,SDI,dist_pole
"167258112",1692564.44769287,13401.3446689398,2.752,2.906,316.263791178977
"166867897",3640476.42938232,9386.98801063309,1.831,1.388,849.2336376262
"72863677",3066437.66967773,12253.0237085066,1.529,1.974,625.680710490131
"166867852",2833892.00234985,8209.25460258423,1.052,1.376,767.77397158969
"72863597",2097863.27005005,11133.5762906373,2.616,2.168,416.69139735474
"120019024",22405034.4367371,51827.2528366972,1.353,3.089,1523.27610874363
"120018963",2687199.81756592,11608.0843509504,1.797,1.998,489.135470367434
"120018989",3785231.79248047,22911.6985947153,5.279,3.322,400.829145957834
"166867879",1427794.5970459,11267.48040888,2.346,2.660,353.385278208813
"120018310",1392679.70477295,9119.08465336701,2.892,2.180,275.922859638532
"59746923",4451051.06225586,14811.4294819421,2.098,1.980,589.161714551843
"120019497",10162463.107132,17521.8300958042,1.874,1.551,1251.50226563566
"120018940",2228650.121521,5633.29399656725,1.345,1.064,706.383653864865
"45365491",2188915.83047485,11465.082993276,4.002,2.186,336.536172854388
"120019328",1190219.12384033,9841.07845514493,4.891,2.545,299.178421754845
"120018013",1869962.50939941,9271.296669054,1.189,1.913,473.925000033785
"120018008",2284745.38665771,15574.1000811316,2.740,2.907,402.219734333607
{AD0762C6-6E54-412C-A1D8-73EFCBF78069},1871708.57507324,22171.231884123,1.800,4.572,266.782519891893
"81633056",2873930.01269531,12315.9691349588,1.233,2.049,564.856348765185
"120019976",6626052.36880493,41522.0376628228,2.042,4.550,416.172652363516
"120020963",5542599.69882202,10543.3793017397,1.960,1.263,868.899100453898
"120020994",1349814.51959229,8386.52836472098,2.308,2.036,350.876410662229
"120020945",4451456.64572144,26226.7501161509,1.402,3.507,401.7085100399
"80001667",1458543.91119385,7332.35048099238,1.027,1.713,365.930951982542
"107116840",260152.302833557,2733.35638711003,3.801,1.512,137.765919026001
"107116606",1043389.36194611,4376.54380893115,1.140,1.209,409.027048256361
"120020760",619314.689460754,3738.30861549795,1.606,1.340,297.739175110503
"166870380",547440.213272095,2758.80492937304,1.386,1.052,354.906279064431
"58126399",421936.728637695,2753.65770074005,1.984,1.196,242.405902214816
"58125223",158507.220329285,3296.00033912748,2.498,2.335,114.9796240699
"120018330",207757.389419556,5919.89376648662,3.100,3.664,119.533024457153
"59804725",396627.337036133,2688.00894429658,1.205,1.204,269.796776495922
"120020786",1239228.95480347,5463.43062177744,1.958,1.384,399.462058693306
"47723229",260892.610519409,2722.60283972423,2.286,1.504,165.036409965455
"120020729",624646.369552612,3609.90129573474,1.160,1.288,305.979468109651
"45380550",1199845.63035583,6572.49021099636,1.930,1.693,330.552395747416
"120019480",826941.405929565,4913.42707637426,2.833,1.524,279.60422646387
"167256829",411560.149398804,4418.30168308983,3.495,1.943,139.451284327394
"59805041",392968.361038208,4942.81875349737,4.594,2.224,142.421909414841
"45360087",111104.775588989,2606.09117789008,1.813,2.206,77.8355762731516
"45362457",196932.195251465,1720.65626614581,1.577,1.094,198.022909050797
"59806389",659693.628875732,6119.23310350032,1.386,2.125,251.787947429536
"58125393",810809.215667725,4242.32729875502,2.357,1.329,300.459899308002
"72859209",82126.9765319824,1514.16872752675,2.703,1.490,107.113918750859
"58122921",457355.603912354,4012.33623750741,1.148,1.674,271.710078428006
{391CE842-589C-41BA-BFDF-C3157C857D2E},146151.504302979,1552.75419903064,1.650,1.146,154.478191065694
"59752945",742679.520339966,5459.50329064272,2.539,1.787,217.652491988953
"58122895",844271.386459351,4492.30169377621,1.549,1.379,332.012746731988
"45382772",973417.09475708,7329.14258573145,3.272,2.096,230.454326024598
"59805725",1081156.74147034,6212.52980736979,1.743,1.685,306.176105713383
"45365377",1072787.12117004,6149.07117460865,1.238,1.675,351.390926181686
"47715805",101315.936340332,1354.3754352534,2.252,1.200,110.383134614523
"120018965",1106752.57821655,6357.46627341183,3.212,1.705,298.296016379937
"59720375",90891.2027893066,1679.18551711106,1.589,1.571,93.0816083119406
"120019474",523943.706176758,3099.85491016765,1.518,1.208,294.085801400636
"120019520",782326.239440918,3682.67491369999,1.453,1.175,362.867265759709
"45340155",2038378.97901917,7205.60905746794,1.625,1.424,461.57565539463
"45338669",527989.571075439,3528.02062936375,1.409,1.370,292.188686181022
"167256803",1044054.15899658,9940.20092785716,1.573,2.744,309.579882788641
"167256812",401516.621337891,4782.76284419529,2.258,2.129,195.194707616672
"120018270",1615003.72998047,8419.44949396777,1.511,1.869,427.857977127235
"120018306",1043413.13137817,5940.21373952198,1.710,1.640,321.277745257818
"72863299",143135.547637939,1882.55526507052,1.658,1.404,156.693387074382
"45338081",925963.166381836,4868.99776298672,1.350,1.427,400.424426521821
"59719871",715794.162628174,4693.48663271445,2.381,1.565,231.089003616875
"120019717",1168347.26977539,4768.83905735977,1.396,1.245,456.761712756534
"59750419",502804.783111572,2653.57667924938,1.158,1.056,334.614070186632
"59812197",72323.7087097168,1344.02591566521,1.558,1.410,100.229824160665
"59720341",513722.21270752,4414.34022017271,1.930,1.737,214.386355682168
"120019859",150591.171264648,1851.53093558183,2.210,1.346,152.776128481178
"59811717",119612.952575684,1995.52672990994,1.230,1.628,128.281870274537
"120018268",632423.528320313,5520.21363538684,2.282,1.958,265.076445506919
"59751073",699145.825042725,3806.27960143043,2.369,1.284,278.809834672038
"59811869",150451.860107422,1707.48936403692,1.935,1.242,139.374249566897
"166867894",729240.882537842,4834.96853150406,2.439,1.597,296.131327906791
"47713891",71437.4971313477,1304.53259446622,2.475,1.377,79.6378107237442
"120019766",663855.883056641,8781.40452737381,1.460,3.040,214.372606724117
"59719855",178765.693481445,1588.97319156756,1.389,1.060,197.008734375257
"166866603",285896.048950195,3497.80997904416,1.452,1.845,136.284264241862
"120018977",435810.78515625,5442.05746522413,2.457,2.325,196.92723332484
"59810105",908372.882415771,4396.99122941505,1.822,1.301,380.984757007741
"72863339",325722.396514893,2636.86704216943,1.303,1.303,226.449056005595
"72862341",1099881.7182312,9086.54309995287,2.890,2.444,270.101315064658
"59721671",371294.314483643,3711.86148627453,1.005,1.718,195.36879021283
"120019724",560547.089630127,3722.05722280874,1.250,1.402,246.41386247254
"59721057",345295.309204102,2494.49401623484,1.694,1.198,265.123653120396
"120019012",1144621.38470459,6675.01429115177,1.265,1.760,315.332683404108
"45365277",42906.1814880371,873.623532312826,1.496,1.190,82.99566377368
"120018266",972252.452423096,4831.18702415345,1.135,1.382,431.211827978672
"72863815",741091.827697754,5483.76650049386,2.475,1.797,244.96210764819
"72863529",377082.665222168,3604.45038253268,2.215,1.656,193.519159122506
"45366395",250472.291473389,2118.68557317629,1.400,1.194,222.276302937823
"120019706",655806.138885498,5654.71399565499,3.435,1.970,218.877812549262
