lagoslakeid,lake_nets_upstreamlake_km,lake_nets_downstreamlake_km,lake_nets_bidirectionallake_km,lake_nets_upstreamlake_n,lake_nets_downstreamlake_n,lake_nets_lakeorder,lake_nets_lnn,net_id,net_lakes_n,net_averagelakedistance_km,net_averagelakearea_ha,lake_nets_nearestdamdown_km,lake_nets_nearestdamdown_id,lake_nets_totaldamdown_n,lake_nets_nearestdamup_km,lake_nets_nearestdamup_id,lake_nets_totaldamup_n,lake_nets_damonlake_flag,lake_nets_multidam_flag,net_dams_n,nhdplusv2_comid
5077,NA,1.018,1.018,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13346476
76330,1.108,0.361,0.361,1,1,1,6,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343908
36893,NA,15.056,3.676,0,1,1,1,1,32811,1652.416,80.469,9.909,50736,1,NA,NA,0,N,N,24986,13343642
4847,0.083,24.39,0.083,3,1,2,4,1,32811,1652.416,80.469,0,50127,1,3.252,50125,1,N,N,24986,13078143
5385,0.132,16.013,0.132,2,1,4,6,1,32811,1652.416,80.469,0,50129,1,6,50622,2,N,N,24986,13078817
4405,0.953,0.326,0.326,4,1,4,3,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13078315
4408,3.281,4.472,3.281,1,1,1,2,1,32811,1652.416,80.469,4.472,50196,1,NA,NA,0,N,N,24986,13124042
3427,0.071,25.089,0.071,12,1,6,21,1,32811,1652.416,80.469,0,50649,2,13.017,50644,6,N,N,24986,13105755
1737,10.737,14.185,5.897,10,1,6,20,1,32811,1652.416,80.469,1.934,50644,1,13.374,50643,5,N,N,24986,13104083
4775,NA,0.068,0.068,0,1,0,1,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13118836
4855,8.696,6.569,4.924,2,1,2,2,1,32811,1652.416,80.469,0,50184,1,NA,NA,0,Y,N,24986,13118768
5139,1.85,7.933,1.85,1,1,1,2,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13119530
4608,7.021,13.448,7.021,1,1,3,4,1,32811,1652.416,80.469,0,50121,1,NA,NA,0,N,N,24986,12991513
5578,0.566,0.133,0.133,1,1,3,7,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343686
5024,1.995,0.082,0.082,3,1,3,11,1,32811,1652.416,80.469,NA,NA,0,NA,NA,0,N,N,24986,13343626
