OBJECTID,lagoslakei,area,perimeter,SDI,bbox_lw_rat,dist_pole
146645,"4013",1560695.39575195,11764.3034222661,2.656,3.474,352.310822604926
145306,"101811",55289.4381103516,1241.06936988474,1.489,1.303,95.1264958467359
144915,"331",57484.4409179688,1288.53531029166,1.516,1.296,83.9776508927839
145995,"125728",303377.823852539,2969.51413886671,1.521,1.220,193.261277186551
144273,"55225",2145287.04431152,7545.91267715793,1.453,2.601,485.978495580224
144590,"1923",735996.979248047,5882.7095191467,1.934,3.275,221.707479095232
146324,"73763",1832943.07800293,11985.9543652515,2.497,2.952,322.325437187119
144936,"21778",597789.930908203,8949.08183697023,3.265,8.153,205.146106995917
145338,"113148",1028349.19311523,10218.7384271894,2.843,9.281,204.251388927598
144912,"63513",233869.577148438,4591.79615562162,2.678,6.102,122.664238810194
145672,"1101",8540295.12768555,28989.6099968519,2.798,8.448,541.020894223003
146644,"77969",2214923.59765625,14978.5187776671,2.839,5.051,340.953530858877
145673,"309",1914293.57116699,12340.4123568117,2.516,8.097,329.274158632999
146612,"40656",96311.7185058594,1474.98120852224,1.341,2.524,101.544678291041
144904,"119359",321269.934204102,2798.55426984106,1.393,1.931,189.012783087625
146609,"42826",228682.995117188,2153.76453099421,1.271,2.020,176.301035531306
146613,"70678",44793.9819335938,1047.55565612583,1.396,3.456,66.6344068408784
146951,"555",62635.0694580078,1079.19088454074,1.216,2.616,82.7895370132166
145304,"81136",74802.7684326172,1226.59303062168,1.265,2.046,109.051835340869
145290,"26029",119310.181640625,1529.20096321141,1.249,1.608,151.366453019198
145293,"115175",37462.4382324219,876.665447364449,1.278,2.592,63.888530035222
146623,"18556",75139.0706787109,1452.73146542409,1.495,2.956,85.3180284514317
145648,"40641",82228.5478515625,1422.17304578136,1.399,3.473,89.9782249605272
145299,"85329",92345.8771972656,1490.08436423184,1.383,2.506,102.235379417091
144574,"120444",173079.370117188,3392.66323957663,2.300,7.089,101.469196739731
144903,"37460",115977.319824219,1793.29880948917,1.485,3.155,109.466111697215
144573,"88494",68715.6617431641,1417.51171506495,1.525,3.924,76.2061999012378
146611,"83233",121025.482788086,2389.07552662943,1.937,6.437,82.2027784981856
145638,"115160",219446.608764648,4042.71149296513,2.434,5.294,126.762218000586
144905,"112119",100190.257568359,2004.51695868768,1.786,5.349,73.0663708078618
145637,"1841",123378.901733398,1828.51312153752,1.468,2.883,120.110329404579
146298,"39591",65321.5146484375,1645.05077621863,1.816,1.943,77.5601981187645
145644,"111090",125592.678955078,1902.20119575357,1.514,1.755,130.313492684075
145989,"140209",156171.545532227,3269.62798867867,2.334,1.113,82.5259827458788
145300,"124647",340633.382446289,3157.5404117834,1.526,1.710,237.135008516112
146297,"79099",95177.8078613281,1642.4061703798,1.502,1.162,115.311385024527
145981,"49010",76177.783203125,1260.62051217946,1.288,2.462,94.906686209008
