NLAID,hcurv_min,hcurv_max,hcurv_median,vcurv_min,vcurv_max,vcurv_median,elev_min,elev_max,elev_median,slope_min,slope_max,slope_median,relief1000_min,relief1000_max,relief1000_median,relief500_min,relief500_max,relief500_median,relief100_min,relief100_max,relief100_median,relief50_min,relief50_max,relief50_median,dev1000_min,dev1000_max,dev1000_median,dev500_min,dev500_max,dev500_median,dev100_min,dev100_max,dev100_median,dev50_min,dev50_max,dev50_median
NLA06608-0510,-7.58819223948346e-4,0.0011640852489992227,4.93767728592536e-5,-8.305350806377324e-4,0.0010729321138477049,3.4501933093701176e-5,438,454,444.0000000000001,0,10.034704208374023,1.6730696622325563,4,15,9,3,14,6.999999999999997,0,10,2.999999999999999,0,6,2,-2.69617207724457,4.06586045512399,0.32732470851996986,-3.038993680961542,3.8972986722124414,0.3274217289947353,-2.5050647047025922,2.4954011755581207,0.04779774609816737,-2.6666666665115217,2.6666666665115217,0
NLA06608-0254,-7.549236848719676e-4,0.0012773143203334075,5.951773950157566e-6,-9.319999301510263e-4,0.0010383843593783624,-1.9253837529099182e-4,437,458,442.00000000000006,0,12.030163764953613,2.3138565126739334,8,26,17,3,21,11,0,12,4,0,8,2,-1.5867229779266547,2.4811872740497507,-0.4185256853900407,-1.6170917153550872,4.0992644580033515,-0.26716678560500623,-2.915404041699574,2.6898005552434063,-0.021157282022380115,-2.6666666665115217,2,0
NLA06608-0078,-4.554893569501154e-4,4.825125070904611e-4,-3.106921329938926e-5,-5.201455407100619e-4,2.662726040095932e-4,-5.8206780240571416e-5,451,460,454.9999999999999,0,6.197275161743164,1.6713299287534529,5,9,5.9999999999999964,3,8,5.000000000000001,1,6,3.0000000000000018,0,5,1,-3.273580205251488,3.17783553457861,-0.17137949187062396,-3.0392629142769256,3.130448520002706,0.07513251369562596,-2.304029503640954,2.2602168978047934,0.04469274982338316,-2.6666666665115217,1.7638342074057132,0
NLA06608-0915,-0.001323908415380983,6.765095175901386e-4,-8.553887067317499e-5,-8.773787425699417e-4,0.0012701579024409302,-9.178811643984063e-6,344,360,350,0,9.917787551879883,2.747751074035323,9,18,11.000000000000002,6,17,9.999999999999998,2,10,4,0,6,2,-2.4582756084278556,2.9047300498863606,-0.20483134114942608,-2.0960927779721796,2.656909199886358,-0.018332945221408808,-1.9618546279004108,2.203003291098336,-0.04839278475559539,-1.4792005232408272,1.8490006540509392,0
NLA06608-1102,-0.004005049598766452,9.87238610339043e-4,-1.6648830597192903e-5,-0.0037337005179724557,0.001418590060126177,-1.4634337003758679e-4,406,455,438.00000000000006,0,19.127368927001953,4.8290387277016125,26,56,39,18,50,29.999999999999996,2,22,8.999999999999998,0,11,4,-1.5726013122631926,1.6943122066389804,0.24136518962502232,-1.9229407955608815,1.7229528233495195,0.2717052906815062,-1.6777629828377763,1.7651259689637804,0.16278149370896244,-1.7638342073727127,1.4757295747452317,0.05370885733514857
NLA06608-0190,-0.0026978230368217017,0.0021326287619768567,-1.3690415369562055e-4,-0.00208025924728916,0.0016271214642194964,-1.64748258641232e-4,413,447,425.99999999999994,0,34.050498962402344,5.611834792503223,20,41,28,17,37,24.999999999999996,2,25,11.000000000000004,0,24,5.000000000000001,-1.4096165997078467,2.313328722110261,-0.039420482507207255,-1.4366865425316033,1.8613199401306266,0.11697773918878861,-1.5063594189549117,1.496866268627068,0.1332870361238375,-1.4792005232408272,1.7638342074057132,0.0387191161867477
NLA06608-1278,-0.0019181947270065411,0.0023351161959931904,3.877087998071211e-6,-0.002393553017661895,0.002605946284345098,-2.4040442680655585e-6,432,486,435.0385103380628,0,34.93626403808594,0,0,97,12.00000000000001,0,67,8.999999999999995,0,37,2.9999999999999956,0,26,0,-2.0616743016118124,4.780255139878204,-0.2968299016561727,-2.339388241920402,5.3627172129468885,-0.0780060934231966,-2.82842712474619,3.362757761864343,2.969016742222903e-4,-2.6666666665115217,2.6666666665115217,1.604658794742489e-5
NLA06608-R784,-0.0011549456440226688,0.0013499761715538726,2.2229066948089857e-5,-0.0010373871093037796,0.0013527418503570545,7.593592197680957e-6,1205,1251,1224.9999999999993,0,13.286884307861328,1.8543341159820548,10,47,23.000000000000007,4,36,11.999999999999996,1,14,4,0,9,2,-1.694511154833568,1.2259363562499952,-0.2106077818855228,-1.8488830221077255,2.4544899801354845,-0.079304817897599,-2.3259419063352484,2.6304628338988905,-0.01937423003943037,-2.6666666679085056,2.6666666679085056,3.133747745394163e-5
NLA06608-0723,-8.886630088654269e-4,8.685463925945575e-4,1.7779649881212647e-5,-0.0014323344213713386,0.0011329673291053893,-9.610684663862961e-5,1056,1086,1065,0,16.283668518066406,3.704791784286499,16,46,28,9,32,20.000000000000004,2,23,6.000000000000001,0,11,3.0000000000000013,-1.3359055501232389,1.862446316930527,-0.2912986855611285,-1.233056482836079,1.3366669459630234,-0.08759936473417151,-2.1100661458677608,1.8402179291894778,0.03932668357728165,-1.7638342071418371,2.6666666679085056,8.195068055232639e-4
NLA06608-1836,-6.003787895213827e-4,0.00085038597987898595,1.110376296967862e-5,-8.097407333468984e-4,8.545026340340437e-4,-8.031587058284603e-5,1157,1173,1162.0000000000002,0,10.458685874938965,2.239129666108207,10,41,21,7,31,12,0,12,4,0,8,2,-1.5087251171830187,1.838512574134725,-0.36665556850293646,-1.4437511531195883,1.7944588413126268,-0.13544218014283296,-2.2995426917017303,2.4302957374644385,0.01275043783065474,-2.6666666679085056,2.6666666679085056,0
NLA06608-3484,-7.132198312340334e-4,0.0012179061429071659,1.1865259240795828e-5,-0.0012879667622558183,0.0010796745576228885,-1.6060067961456894e-4,872,899,878.2175935088064,0,17.52798843383789,2.7802884578704825,11,49,24.000000000000007,2,40,18,1,20,5.000000000000002,0,13,2,-1.3326092199571382,3.9105209868361333,-0.23522864878443225,-1.3530650043403838,2.4891333968671923,-0.13329920498426054,-2.172481843716713,2.380714961225544,0.013320773261720122,-1.8856180831641802,2.6666666665115217,5.52733920550632e-4
NLA06608-1244,-9.17867236147833e-4,0.0010127299529766659,-3.96597351662644e-6,-7.249828940760777e-4,8.109067906804959e-4,-5.0065618492696067e-5,870,896,874.0000000000002,0,15.795342445373535,1.854334115982055,7,47,28,4,40,15.000000000000002,1,18,3.000000000000003,0,11,2,-1.4696911638654868,1.840503838941873,-0.3821634839184127,-1.7731747193578378,2.599348326976214,-0.17288739892602026,-2.320446904417365,2.062537214709896,-0.019875430470328324,-2.6666666665115217,2.6666666665115217,1.1646796235700726e-4
NLA06608-1948,-0.0011597973009991986,0.0010765290748664736,5.288428417580872e-6,-0.0013089438395261777,0.0011498434958416067,-1.1269632915208174e-4,889,918,895,0,16.10630989074707,2.240551909568236,8,43,23,5,32,17.000000000000004,0,22,5.000000000000002,0,12,2,-1.361180963499711,2.65774875083651,-0.2643234789811528,-1.5369375565713392,1.7485464328827383,-0.24130179147226902,-2.876982277434372,2.8126318626709605,-0.04565989117282814,-2.6666666665115217,2,4.8108705128294306e-4
NLA06608-1096,-0.0015737288340484023,0.0014645458780304548,9.754482140740376e-6,-0.002148757262461143,0.002042383163325809,-7.473517081815635e-5,447,494,460.00000000000017,0,27.067214965820313,2.2436460048150044,21,85,38,4,46,29,1,35,4,0,20,2,-1.192173046100991,1.368381995786822,-0.6485038287298619,-2.1464732684780543,1.867122274563504,-0.35800228823483893,-2.284407229157256,2.229444606502664,0.012350322267252117,-2.6666666665115217,2.6666666665115217,4.1389632446581746e-4
NLA06608-1687,-8.900069036819232e-4,0.0016005575261609161,-6.880309310988056e-6,-9.060171351131829e-4,0.0013436090128462364,-2.3659755595956268e-5,516,556,526,0,22.92959213256836,2.269693327779182,4,39,12,3,37,9.000000000000004,0,26,4,0,17,2,-2.5108891441864594,8.242863808108591,0.34439744522293625,-3.00577727809774,6.076887751260571,0.4064819068416335,-2.761560665702572,2.594821249066464,0.14115961617537323,-2.6666666665115217,2.6666666665115217,6.376976924036389e-5
NLA06608-0523,-0.0014443761334836452,0.0010040653932362966,7.625353784268667e-6,-9.613575090481198e-4,7.872735372515827e-4,-7.996420997424486e-5,482,507,490.9999999999999,0,13.996832847595215,2.7351624574685744,7,32,16.999999999999996,5,25,12.000000000000007,1,15,4.999999999999998,0,9,2,-1.856858486492047,3.484916148092215,0.139674638724476,-2.1294676924402474,3.0437332586673516,0.2637514502385205,-2.3752812762375157,2.268706024802112,0.07812650995224178,-2.6666666665115217,2.6666666665115217,1.009499665424119e-4
