lagoslakei,area,perimeter,bbox_lw_rat,dist_pole,SDI
"8295",3472077.671875000000000,35719.217878139097593,2.247,157.315560723891,5.408
"61",1106257.670593261718750,12295.979685680158582,1.609,110.859551185536,3.298
"8298",468259.465820312500000,4798.649556949796533,1.891,106.731406828163,1.978
"56",2863154.810546875000000,29933.382872716378188,4.754,132.004782439744,4.990
"8297",885934.365722656250000,9095.124634843383319,2.628,106.826489159846,2.726
"55",373922.962890625000000,3898.848933387421312,1.640,104.976972248538,1.799
"8324",553674.429687500000000,5740.600209126225309,1.513,108.006759928025,2.176
"8323",490032.268066406250000,5008.157470940393978,1.429,107.395868961345,2.018
"57",483896.525878906250000,5067.032196186011788,2.058,108.484337297259,2.055
"20",602174.844726562500000,6217.085770163547750,1.074,108.752346315777,2.260
"8325",1601886.644531250000000,16207.557724685433641,2.980,108.227714550629,3.612
"81822",1694679.443214416503906,17450.137737489203573,1.290,111.280573679026,3.781
"19",696277.757324218750000,7233.566936104894921,1.755,111.25010003997,2.445
"8320",639440.658203125000000,6571.323947993270849,1.589,105.275855356615,2.318
"22",944622.899902343750000,9629.420311233297980,1.914,108.72578028817,2.795
"8319",3572957.550781250000000,36849.936436000069079,1.574,132.765258061642,5.499
"24673",694864.180908203125000,7760.760152664405723,1.497,114.154675850863,2.626
"21",2202499.364746093750000,23980.884530589722999,1.536,161.469258095631,4.558
"8322",4028382.535156250000000,42323.042886725466815,3.690,128.557156030675,5.948
"16",1107845.569824218750000,12069.406377292329125,1.201,143.017509696076,3.235
"8321",378869.794921875000000,3918.116410451576030,1.034,112.120767355513,1.796
"15",703663.042968750000000,7651.952710190744256,1.678,127.015774555615,2.573
"8316",3959024.474121093750000,42449.847762474397314,2.530,151.738098143383,6.018
"18",683600.901855468750000,7367.898103988707589,1.197,108.221085712561,2.514
"8315",1476045.831054687500000,16384.500844924812554,1.664,113.111812259863,3.804
"17",1487464.746582031250000,15764.610685563378865,2.300,130.646128382691,3.646
"24664",549514.332763671875000,6233.785143566477927,1.022,115.146297767601,2.372
