stat,log_minimum,count,in_model_fitting,minimum,int,slope,facet_label,pred_count
volume,6.26530612244898,10535,TRUE,1842069.9693267164,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",11338.057779514294
volume,6.428571428571429,7938,TRUE,2682695.7952797273,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",8522.426739172748
volume,6.591836734693877,5994,TRUE,3906939.9370546127,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",6406.014057874928
volume,6.755102040816326,4618,TRUE,5689866.029018293,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",4815.17968597692
volume,6.918367346938775,3553,TRUE,8286427.728546842,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",3619.4043907447003
volume,7.081632653061225,2710,TRUE,12067926.40639329,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",2720.581369350129
volume,7.244897959183673,2080,TRUE,17575106.248547893,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",2044.9671239228805
volume,7.408163265306122,1595,TRUE,25595479.226995334,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",1537.1312121145443
volume,7.571428571428571,1207,TRUE,37275937.20314938,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",1155.4084834010434
volume,7.73469387755102,893,TRUE,54286754.3932386,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",868.4806820613954
volume,7.897959183673469,700,TRUE,79060432.10907686,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",652.8069561109703
volume,8.061224489795919,523,TRUE,115139539.93264481,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",490.6924595436687
volume,8.224489795918366,392,TRUE,167683293.6811003,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",368.83658729286907
volume,8.387755102040817,284,TRUE,244205309.4548655,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",277.2417335541766
volume,8.551020408163264,222,TRUE,355648030.6223121,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",208.39304307707863
volume,8.714285714285714,163,TRUE,517947467.9231202,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",156.64185851888953
volume,8.877551020408163,123,TRUE,754312006.3354608,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",117.7422790989064
volume,9.040816326530612,93,TRUE,1098541141.9875572,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",88.5028077327938
volume,9.204081632653061,69,TRUE,1599858719.6060574,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",66.52450620569495
volume,9.367346938775508,50,TRUE,2329951810.5153623,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",50.00417545252333
volume,9.53061224489796,35,TRUE,3393221771.8953295,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",37.586412967206186
volume,9.693877551020407,26,TRUE,4941713361.323818,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",28.252409462939838
volume,9.857142857142858,20,TRUE,7196856730.011529,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",21.236361159497424
volume,10.020408163265305,17,FALSE,10481131341.546831,8.812094227845433,-0.7593492590799326,"Volume~(list(m^3,N == 10^8.81%*%V^-0.759))",15.962639784340924
